Transcription Factor,Group I: CD103+,Group II: CD103- and CD24-,Group IIIa: CD24+ and CD11b+,Group IIIb: CD11blo
RXR-gamma,1,1,1,1
RXR-alpha,1,1,1,1
RAR-gamma,1,1,1,1
Egr-2,1,1,1,1
MAZR,1,1,1,1
VDR,1,1,1,1
c-Ets-2,1,1,1,1
TCF-7,1,1,1,1
C/EBPbeta,1,0,0,0
COE1,1,0,0,0
c-Ets-1,1,0,0,0
Sox-4,1,1,0,1
c-MAF,1,1,1,0
Egr-1,1,0,1,0
C-FOS,1,0,1,0
RAR-alpha,0,1,1,1
PU.1,0,1,1,1
AP-1,0,1,1,1
SP1,0,1,1,1
Oct2,0,1,1,1
IRF-4,0,1,0,1
STAT4,0,1,1,0
TCF3,0,1,1,0
Blimp-1,0,1,1,0
Egr-3,0,1,1,0
NFATc3,0,1,0,0
BACH2,0,1,0,0
JunB,0,1,0,0
STAT1,0,0,1,1
Tal-1,0,0,1,1
c-Jun,0,0,1,1
LEF-1,0,0,1,1
Elf-1,0,0,1,1
POU6F1,0,0,1,1
STAT3,0,0,1,0
RXR-beta,0,0,1,0
IRF-1,0,0,0,1
HMGIY,0,0,0,1
IRF-2,0,0,0,1
STAT6,0,0,0,1
STAT2,0,0,0,1
RUNX1,0,0,0,1
FOXO4,0,0,0,1
Oct1,0,0,0,1
C/EBPgamma,0,0,0,1
RAR-beta,0,0,0,1
RUNX2,0,0,0,1